 ,movie_id,rank,votes,title,originalTitle,year,rating,titleType,isAdult,runtime,genres
346,tt7212754,356,39903,Ludo,Ludo,2020,7.6,movie,0,150,"Action, Comedy, Crime            "
359,tt9354842,357,39729,To All the Boys: P.S. I Still Love You,To All the Boys: P.S. I Still Love You,2020,6,movie,0,101,"Comedy, Drama, Romance            "
345,tt8201170,358,39715,The Perfect Date,The Perfect Date,2019,5.8,movie,0,89,"Comedy, Romance            "
342,tt3120280,359,39398,Sierra Burgess Is a Loser,Sierra Burgess Is a Loser,2018,5.8,movie,0,105,"Comedy, Drama, Romance            "
349,tt7008872,360,39217,Boy Erased,Boy Erased,2018,6.9,movie,0,115,"Biography, Drama            "
371,tt10039344,361,39195,Countdown,Countdown,2019,5.4,movie,0,90,"Horror, Thriller            "
351,tt4154916,362,39016,Replicas,Replicas,2018,5.4,movie,0,107,"Drama, Sci-Fi, Thriller            "
348,tt1563742,363,38973,Overboard,Overboard,2018,6,movie,0,112,"Comedy, Romance            "
355,tt6324278,364,38914,Abominable,Abominable,2019,7,movie,0,97,"Animation, Adventure, Comedy            "
366,tt7533152,365,38868,The Boy Who Harnessed the Wind,The Boy Who Harnessed the Wind,2019,7.6,movie,0,113,"Biography, Drama, History            "
364,tt4537896,366,38299,White Boy Rick,White Boy Rick,2018,6.5,movie,0,111,"Crime, Drama            "
374,tt9683478,367,38290,The Half of It,The Half of It,2020,6.9,movie,0,104,"Comedy, Drama, Romance            "
398,tt7557108,368,38280,Saint Maud,Saint Maud,2019,6.7,movie,0,84,"Drama, Horror, Mystery            "
365,tt6107548,369,38112,Late Night,Late Night,2019,6.5,movie,0,102,"Comedy, Drama            "
363,tt7339248,370,38082,The Art of Self-Defense,The Art of Self-Defense,2019,6.6,movie,0,104,"Action, Comedy, Crime            "
370,tt8151874,371,37898,Honey Boy,Honey Boy,2019,7.2,movie,0,94,Drama            
379,tt5797184,372,37883,Escape from Pretoria,Escape from Pretoria,2020,6.8,movie,0,106,"Biography, Crime, Mystery            "
387,tt1833116,373,37836,The Informer,The Informer,2019,6.6,movie,0,113,"Action, Crime, Drama            "
361,tt3385524,374,37793,Stan & Ollie,Stan & Ollie,2018,7.2,movie,0,98,"Biography, Comedy, Drama            "
362,tt5057140,375,37754,Hold the Dark,Hold the Dark,2018,5.6,movie,0,125,"Action, Drama, Thriller            "
358,tt5619332,376,37573,Life of the Party,Life of the Party,2018,5.6,movie,0,105,Comedy            
369,tt1255919,377,36990,Holmes & Watson,Holmes & Watson,2018,3.9,movie,0,90,"Comedy, Crime, Mystery            "
396,tt5918982,378,36956,Possessor,Possessor,2020,6.5,movie,0,103,"Horror, Mystery, Sci-Fi            "
367,tt6697582,379,36936,Arif V 216,Arif V 216,2018,7,movie,0,125,"Comedy, Fantasy, Music            "
373,tt5580266,380,36828,The Hate U Give,The Hate U Give,2018,7.5,movie,0,133,"Crime, Drama            "
378,tt5294518,381,36701,Eli,Eli,2019,5.8,movie,0,98,"Drama, Horror, Mystery            "
377,tt4827558,382,36482,High Life,High Life,2018,5.8,movie,0,113,"Adventure, Drama, Horror            "
384,tt8781414,383,36010,Freaks,Freaks,2018,6.7,movie,0,105,"Drama, Mystery, Sci-Fi            "
375,tt1464763,384,35862,Mute,Mute,2018,5.4,movie,0,126,"Mystery, Sci-Fi, Thriller            "
380,tt6938828,385,35678,At Eternity's Gate,At Eternity's Gate,2018,6.9,movie,0,111,"Biography, Drama, History            "
402,tt3833480,386,35180,The Outpost,The Outpost,2019,6.8,movie,0,123,"Action, Drama, History            "
382,tt4964788,387,35174,Everybody Knows,Todos lo saben,2018,6.9,movie,0,133,"Crime, Drama, Mystery            "
388,tt7725596,388,35006,Badhaai Ho,Badhaai ho,2018,7.9,movie,0,124,"Comedy, Drama            "
386,tt4669788,389,34958,On the Basis of Sex,On the Basis of Sex,2018,7.1,movie,0,120,"Biography, Drama            "
376,tt10350626,390,34906,Gunjan Saxena: The Kargil Girl,Gunjan Saxena: The Kargil Girl,2020,5.6,movie,0,112,"Action, Biography, Drama            "
389,tt5690360,391,34877,Slender Man,Slender Man,2018,3.2,movie,0,93,"Horror, Mystery, Thriller            "
381,tt7608028,392,34872,The Open House,The Open House,2018,3.3,movie,0,94,"Horror, Thriller            "
383,tt3256226,393,34668,IO,IO,2019,4.7,movie,0,96,"Adventure, Drama, Sci-Fi            "
385,tt1072748,394,34654,Winchester,Winchester,2018,5.4,movie,0,99,"Drama, Fantasy, Horror            "
393,tt8108202,395,34495,Stree,Stree,2018,7.5,movie,0,128,"Comedy, Horror            "
392,tt4878482,396,34475,Dumplin',Dumplin',2018,6.5,movie,0,110,"Comedy, Drama            "
390,tt7280898,397,34471,22-Jul,22-Jul,2018,6.8,movie,0,143,"Crime, Drama, History            "
394,tt2639336,398,34411,Greta,Greta,2018,6,movie,0,98,"Drama, Mystery, Thriller            "
405,tt8108268,399,34309,The Tashkent Files,The Tashkent Files,2019,8.1,movie,0,134,"Drama, Mystery, Thriller            "
422,tt10324144,400,34038,Article 15,Article 15,2019,8.1,movie,0,130,"Crime, Drama, Mystery            "
397,tt6141246,401,34018,The Aeronauts,The Aeronauts,2019,6.6,movie,0,100,"Action, Adventure, Drama            "
395,tt6802308,402,34009,The 15:17 to Paris,The 15:17 to Paris,2018,5.3,movie,0,94,"Biography, Drama, Thriller            "
408,tt8983202,403,33902,Kabir Singh,Kabir Singh,2019,7,movie,0,173,"Action, Drama, Romance            "
391,tt5523010,404,33897,The Nutcracker and the Four Realms,The Nutcracker and the Four Realms,2018,5.5,movie,0,99,"Adventure, Family, Fantasy            "
399,tt4761916,405,33833,Unfriended: Dark Web,Unfriended: Dark Web,2018,6,movie,0,92,"Horror, Mystery, Thriller            "
409,tt8633462,406,33790,"Quo Vadis, Aida?","Quo vadis, Aida?",2020,8,movie,0,101,"Drama, History, War            "
437,tt10530176,407,33589,The Call,Kol,2020,7.1,movie,0,112,"Crime, Horror, Mystery            "
424,tt6195094,408,33433,Incident in a Ghostland,Ghostland,2018,6.4,movie,0,91,"Drama, Horror, Mystery            "
400,tt9806192,409,33385,I Lost My Body,J'ai perdu mon corps,2019,7.5,movie,0,81,"Animation, Drama, Fantasy            "
410,tt8850222,410,33342,Peninsula,Bando,2020,5.5,movie,0,116,"Action, Horror, Thriller            "
406,tt5935704,411,33219,Padmaavat,Padmaavat,2018,7,movie,0,164,"Drama, History, Romance            "
420,tt6865690,412,33211,The Professor,The Professor,2018,6.7,movie,0,90,"Comedy, Drama            "
403,tt9398640,413,33184,Between Two Ferns: The Movie,Between Two Ferns: The Movie,2019,6.1,movie,0,82,Comedy            
